libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyuv r2426+464c51a03-1
licenses 20240728-1
lilv 0.26.4-1
linux-api-headers 6.19-1
llvm-libs 22.1.5-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.6-1
lua 5.5.0-2
lua54 5.4.8-6
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
md4c 0.5.3-1
mesa 1:26.0.6-1
mesa-utils 9.0.0-7
minizip 1:1.3.2-3
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mtdev 1.1.7-1
ncurses 6.6-2
net-snmp 5.9.5.2-1
nettle 4.0-1
nftables 1:1.1.6-3
npth 1.8-1
nspr 4.39-1
nss 3.124-1
ocl-icd 2.3.4-1
oniguruma 6.9.10-1
opencore-amr 0.1.6-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openresolv 3.17.4-1
openssl 3.6.2-2
opus 1.6.1-1
orc 0.4.42-1
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260406-1
pacutils 0.15.0-2
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.1-1
patchelf 0.18.0-4
pciutils 3.15.0-1
pcre2 10.47-1
perl 5.42.2-1
pinentry 1.3.2-2
pipewire 1:1.6.5-1
pipewire-alsa 1:1.6.5-1
pipewire-audio 1:1.6.5-1
pipewire-pulse 1:1.6.5-1
pipewire-session-manager 1:1.6.5-1
pixman 0.46.4-1
polkit 127-3
poppler 26.05.0-1
poppler-glib 26.05.0-1
popt 1.19-2
portaudio 1:19.7.0-4
prismlauncher 11.0.2-1
procps-ng 4.0.6-1
psmisc 23.7-2
python 3.14.5-1
qpdf 12.3.2-2
qrencode 4.1.1-4
qt6-base 6.11.1-1
qt6-imageformats 6.11.1-1
qt6-networkauth 6.11.1-1
qt6-svg 6.11.1-1
qt6-translations 6.11.1-1
rav1e 0.8.1-2
readline 8.3.003-1
rtkit 0.14-1
rubberband 4.0.0-2
runimage-bubblewrap 0.11.0.2-1
runimage-chisel 1.10.1-1
runimage-cpids 0.0.1-1
runimage-mirrorlist 0.6-1
runimage-rootfs 0.43.1-1
runimage-ssrv 0.3.4-1
runimage-static 0.43.1-1
runimage-tini 0.20.0-1
runimage-unionfs-fuse 3.5-1
runimage-uruntime 0.5.6-1
runimage-utils 0.43.1-1
samba 2:4.24.2-1
sane 1.4.0-4
sbc 2.2-1
